cell_id,center_lat,center_lon
322,12.7405,77.7905
323,12.7405,77.7995
324,12.7405,77.8085
325,12.7405,77.8175
326,12.7405,77.8265
327,12.7405,77.8355
328,12.7405,77.8445
329,12.7405,77.8535
330,12.7405,77.8625
331,12.7405,77.8715
332,12.7405,77.8805
333,12.7405,77.8895
334,12.7405,77.8985
335,12.7495,77.3045
336,12.7495,77.3135
337,12.7495,77.3225
338,12.7495,77.3315
339,12.7495,77.3405
340,12.7495,77.3495
341,12.7495,77.3585
342,12.7495,77.3675
343,12.7495,77.3765
344,12.7495,77.3855
345,12.7495,77.3945
346,12.7495,77.4035
347,12.7495,77.4125
348,12.7495,77.4215
349,12.7495,77.4305
350,12.7495,77.4395
351,12.7495,77.4485
352,12.7495,77.4575
353,12.7495,77.4665
354,12.7495,77.4755
355,12.7495,77.4845
356,12.7495,77.4935
357,12.7495,77.5025
358,12.7495,77.5115
359,12.7495,77.5205
360,12.7495,77.5295
361,12.7495,77.5385
362,12.7495,77.5475
363,12.7495,77.5565
364,12.7495,77.5655
365,12.7495,77.5745
366,12.7495,77.5835
367,12.7495,77.5925
368,12.7495,77.6015
369,12.7495,77.6105
370,12.7495,77.6195
371,12.7495,77.6285
372,12.7495,77.6375
373,12.7495,77.6465
374,12.7495,77.6555
375,12.7495,77.6645
376,12.7495,77.6735
377,12.7495,77.6825
378,12.7495,77.6915
379,12.7495,77.7005
380,12.7495,77.7095
381,12.7495,77.7185
382,12.7495,77.7275
383,12.7495,77.7365
384,12.7495,77.7455
385,12.7495,77.7545
386,12.7495,77.7635
387,12.7495,77.7725
388,12.7495,77.7815
389,12.7495,77.7905
390,12.7495,77.7995
391,12.7495,77.8085
392,12.7495,77.8175
393,12.7495,77.8265
394,12.7495,77.8355
395,12.7495,77.8445
396,12.7495,77.8535
397,12.7495,77.8625
398,12.7495,77.8715
399,12.7495,77.8805
400,12.7495,77.8895
401,12.7495,77.8985
402,12.7585,77.3045
403,12.7585,77.3135
404,12.7585,77.3225
405,12.7585,77.3315
406,12.7585,77.3405
407,12.7585,77.3495
408,12.7585,77.3585
409,12.7585,77.3675
410,12.7585,77.3765
411,12.7585,77.3855
412,12.7585,77.3945
413,12.7585,77.4035
414,12.7585,77.4125
415,12.7585,77.4215
416,12.7585,77.4305
417,12.7585,77.4395
418,12.7585,77.4485
419,12.7585,77.4575
420,12.7585,77.4665
421,12.7585,77.4755
422,12.7585,77.4845
423,12.7585,77.4935
424,12.7585,77.5025
425,12.7585,77.5115
426,12.7585,77.5205
427,12.7585,77.5295
428,12.7585,77.5385
429,12.7585,77.5475
430,12.7585,77.5565
431,12.7585,77.5655
432,12.7585,77.5745
433,12.7585,77.5835
434,12.7585,77.5925
435,12.7585,77.6015
436,12.7585,77.6105
