cell_id,road_length_km,building_count
607,11.5517,0
608,3.2575,0
609,9.9411,0
610,43.9767,0
611,30.5095,0
612,10.8522,0
613,15.5573,0
614,13.5342,0
615,17.4924,19
616,2.0211,17
617,4.8307,31
618,4.7341,2
619,9.9636,0
620,8.1269,0
621,16.4016,0
622,4.9305,0
623,7.0749,0
624,9.6359,7
625,10.325,9
626,2.3597,620
627,17.1038,1
628,14.8275,0
629,12.1383,0
630,5.4358,0
631,0.0,0
632,0.0,0
633,0.0,0
634,12.0381,0
635,12.0381,3
636,18.8179,0
637,14.32,14
638,37.6388,62
639,14.133,21
640,42.1132,2
641,22.3163,38
642,10.5068,71
643,17.6654,27
644,23.936,0
645,36.9299,1
646,16.5008,59
647,30.6554,271
648,30.9201,64
649,24.2998,15
650,26.7454,4
651,28.082,64
652,20.4917,100
653,18.9841,17
654,13.7096,13
655,28.5261,11
656,14.0146,0
657,32.1175,0
658,40.292,0
659,15.1765,0
660,9.6156,0
661,14.0194,0
662,9.5436,0
663,17.7898,96
664,18.5581,171
665,15.0505,33
666,4.1201,0
667,2.1077,0
668,5.8314,0
669,11.7264,0
670,9.9386,0
671,12.4999,0
672,12.3426,1
673,8.1627,0
674,2.1994,0
675,3.2575,0
676,11.7861,0
677,8.2393,0
678,34.2063,1
679,23.4377,6
680,24.8843,3
681,6.2477,8
682,16.3439,57
683,17.4676,42
684,10.6146,10
685,16.7878,0
686,7.2388,0
687,8.5833,0
688,2.2578,0
689,21.4363,0
690,8.1266,0
691,10.4885,0
692,16.3791,2
693,31.9042,0
694,35.5984,0
695,15.6725,0
696,9.3874,0
697,2.5775,0
698,3.8871,0
699,0.0,0
700,0.0,1
701,0.0,0
702,21.7264,41
703,21.7476,3
704,21.5549,25
705,32.9702,0
706,10.064,3
707,14.8021,7
708,25.6153,0
709,20.5006,69
710,14.4174,171
711,20.8015,0
712,15.9797,1
713,26.3672,13
714,40.4844,466
715,32.6847,18
716,20.4229,25
717,22.9513,15
718,17.6933,29
719,22.6841,131
720,38.119,11
721,40.3841,2
722,14.7895,0
723,12.9001,3
724,4.1571,0
725,5.7583,0
726,10.4442,1
727,11.0538,0
728,16.0149,0
729,12.5176,0
730,29.359,59
731,16.8567,53
732,10.3218,35
733,9.2206,0
734,3.1422,0
735,7.6931,0
736,7.5987,1
737,5.06,0
738,10.799,2
739,18.6907,0
740,14.4938,0
741,5.8402,0
742,0.0,0
743,1.745,0
744,7.5578,5
745,27.7584,0
746,43.1025,0
747,22.8411,9
748,15.5139,10
749,26.0729,55
750,16.1521,27
751,5.4371,6
752,8.1446,0
753,4.3731,0
754,11.5008,0
755,7.7392,0
756,9.0277,0
757,4.848,0
758,16.381,0
759,30.3192,0
760,25.0169,10
761,14.2943,0
762,18.7787,3
763,8.9564,0
764,11.8514,0
765,13.3757,0
766,2.2329,0
767,10.1227,16
768,20.0848,11
769,13.0502,2
770,20.6551,7
771,13.1213,2
772,21.908,0
773,16.3083,0
774,13.1587,1
775,11.7223,0
776,19.832,56
777,16.8636,99
778,35.0655,186
779,23.0963,85
780,30.069,74
781,25.5125,34
782,30.2702,14
783,14.4687,29
784,14.6736,0
785,10.6831,1
786,19.0558,0
787,40.4839,145
788,38.8333,12
789,4.1597,0
790,15.6117,3
791,19.4933,0
792,14.285,0
793,15.1561,0
794,4.585,0
795,15.8568,0
796,14.132,0
797,6.8625,0
798,12.08,1
799,9.6207,0
800,10.1853,0
801,13.0166,0
802,2.6469,0
803,9.5457,0
804,0.0,0
805,10.1336,0
806,8.1613,0
807,3.5043,0
808,5.8402,0
809,0.0,0
810,3.2507,0
811,12.777,0
812,28.2597,0
813,34.2565,0
814,33.1638,0
815,37.9273,7
816,17.4584,2
817,6.9178,38
818,12.7164,9
819,7.3341,0
820,3.7747,0
821,22.4814,1
822,4.993,8
823,8.2718,0
824,18.3066,5
825,28.3149,15
826,16.8354,56
827,13.1928,56
828,10.5999,11
829,12.5246,0
830,5.0735,0
831,14.2158,0
832,9.6506,0
833,7.6406,0
834,16.8006,2
835,25.4941,9
836,34.0061,0
837,11.1636,0
838,7.2075,0
839,9.6386,2
840,12.4569,1
841,12.2364,0
842,13.2021,5
843,13.6457,8
844,21.4749,108
845,31.5014,64
846,21.5597,240
847,26.2697,168
848,20.313,159
849,16.0629,112
850,6.4043,1
851,14.4868,0
852,19.9783,1
853,40.1522,29
854,37.0651,92
855,11.4944,50
856,10.4732,1
857,16.6203,21
858,17.4841,225
859,19.8766,0
860,10.7314,0
861,15.0185,11
862,15.7683,0
863,21.3636,0
864,16.3581,0
865,14.0935,0
866,9.5836,0
