cell_id,center_lat,center_lon,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly,road_length_km,building_count,gbif_observations,gbif_species_count,dist_to_cbd_km,zone,ndvi_mean,ndvi_std,ndvi_min,ndvi_accel,vegetation_stressed,fragmentation_index,infra_pressure,urban_proximity_score,rainfall_stress,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
54,12.7045,77.7905,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,36.4552,rural,,,,,0,0.0,0.0,0.026699,0,0.0,0.0,0.0,nan
55,12.7045,77.7995,,,,,,,,,1236.8,687.8,997.6,854.7,835.4,1066.4,1254.9,1057.5,731.6,994.5,971.72,22.780000000000086,0.0,0,0.0,0.0,37.0307,rural,,,,,0,0.0,0.0,0.026295,0,0.0,0.0,0.0,nan
56,12.7045,77.8085,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,37.6227,rural,,,,,0,0.0,0.0,0.025892,0,0.0,0.0,0.0,nan
57,12.7045,77.8175,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,38.2304,rural,,,,,0,0.0,0.0,0.02549,0,0.0,0.0,0.0,nan
58,12.7045,77.8265,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,38.853,rural,,,,,0,0.0,0.0,0.025092,0,0.0,0.0,0.0,nan
59,12.7045,77.8355,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,39.4899,rural,,,,,0,0.0,0.0,0.024698,0,0.0,0.0,0.0,nan
60,12.7045,77.8445,,,,,,,,,1236.8,687.8,1043.8,862.0,775.6,965.5,1260.3,1112.7,744.3,993.4,968.22,25.180000000000064,0.0,0,0.0,0.0,40.1403,rural,,,,,0,0.0,0.0,0.024307,0,0.0,0.0,0.0,nan
61,12.7045,77.8535,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,40.8036,rural,,,,,0,0.0,0.0,0.023921,0,0.0,0.0,0.0,nan
62,12.7045,77.8625,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,41.4792,rural,,,,,0,0.0,0.0,0.023541,0,0.0,0.0,0.0,nan
63,12.7045,77.8715,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,42.1665,rural,,,,,0,0.0,0.0,0.023166,0,0.0,0.0,0.0,nan
64,12.7045,77.8805,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,42.865,rural,,,,,0,0.0,0.0,0.022797,0,0.0,0.0,0.0,nan
65,12.7045,77.8895,,,,,,,,,1222.0,647.0,1043.8,862.0,775.6,965.5,1260.3,1112.7,744.3,993.4,962.66,30.739999999999895,0.0,0,0.0,0.0,43.574,rural,,,,,0,0.0,0.0,0.022435,0,0.0,0.0,0.0,nan
66,12.7045,77.8985,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,44.2931,rural,,,,,0,0.0,0.0,0.022078,0,0.0,0.0,0.0,nan
67,12.7135,77.3045,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,42.5142,rural,,,,,0,0.0,0.0,0.022981,0,0.0,0.0,0.0,nan
68,12.7135,77.3135,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,41.7994,rural,,,,,0,0.0,0.0,0.023365,0,0.0,0.0,0.0,nan
