cell_id,center_lat,center_lon,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,ndvi_mean,ndvi_std,ndvi_accel,fragmentation_index,road_length_km,building_count,infra_pressure,urban_proximity_score,dist_to_cbd_km,rainfall_anomaly,rainfall_stress,gbif_observations,gbif_species_count,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
70,12.7135,77.3315,0.3192,0.6219,0.1671,-0.2537999999999999,0.3027,-0.4548,-0.4058999999999999,0.3694,0.23151844418965847,-0.7575000000000001,0.6267,8.533,0,0.0529,0.024153,40.4023,88.69000000000005,0,18.0,18.0,1.0,0.0973,0.2271,at_risk
71,12.7135,77.3405,0.1791,0.5346,0.3225,-0.4619999999999999,0.3554999999999999,-0.2120999999999999,-0.3186,0.3454,0.17885292840767242,-0.5675999999999999,0.5178,8.3268,0,0.0516,0.024557,39.7211,56.040899653979245,0,0.0,0.0,0.0,0.1592,0.1835,stable
72,12.7135,77.3495,0.3359,0.3069,0.1528,-0.3157,-0.0289999999999999,-0.1541,-0.4987999999999999,0.26520000000000005,0.0984152935269717,-0.1251000000000001,0.3711,18.7568,0,0.1162,0.024967,39.0524,56.040899653979245,0,0.0,0.0,0.0,0.1499,0.2669,degraded
73,12.7135,77.3585,0.3299,0.4139,0.1003,-0.3455999999999999,0.0839999999999999,-0.3136,-0.5751999999999999,0.2813666666666667,0.16233561942264343,-0.3975999999999999,0.577,8.3836,0,0.052,0.025383,38.3969,56.040899653979245,0,0.0,0.0,0.0,0.1245,0.2956,degraded
74,12.7135,77.3675,0.2499,0.515,0.1966,-0.363,0.2651,-0.3184,-0.4163,0.3205,0.17053712205851254,-0.5835,0.5321,3.1167,0,0.0193,0.025803,37.755,56.040899653979245,0,0.0,0.0,0.0,0.1166,0.2177,at_risk
75,12.7135,77.3765,0.3217,0.4361,0.0734,-0.1497,0.1144,-0.3626999999999999,-0.3979999999999999,0.2770666666666667,0.18542363207890555,-0.4770999999999999,0.6692,5.7937,0,0.0359,0.026228,37.1277,74.73000000000002,0,0.0,0.0,0.0,0.0593,0.2225,at_risk
76,12.7135,77.3855,0.1258,0.4546,0.4926,-0.5002,0.3288,0.0379999999999999,-0.1334,0.35766666666666663,0.20169931416178227,-0.29080000000000006,0.5639,15.9056,0,0.0986,0.026656,36.5156,56.040899653979245,0,0.0,0.0,0.0,0.1895,0.1203,stable
77,12.7135,77.3945,0.1842,0.5113,0.1366,-0.5816,0.3270999999999999,-0.3747,-0.6292,0.2773666666666667,0.2039853998043324,-0.7017999999999999,0.7354,8.2093,0,0.0509,0.027086,35.9195,56.040899653979245,0,0.0,0.0,0.0,0.1948,0.3279,degraded
78,12.7135,77.4035,0.4077,0.6986,0.435,-0.1235,0.2909,-0.2636,-0.0962,0.5137666666666667,0.16065130977783323,-0.5545,0.3127,6.8538,0,0.0425,0.027518,35.3402,56.040899653979245,0,0.0,0.0,0.0,0.054,0.0757,stable
79,12.7135,77.4125,0.5452,0.7577,0.4743,-0.0750999999999999,0.2125,-0.2834,-0.1459999999999999,0.5924,0.14747803226243564,-0.4959,0.2489,12.824,0,0.0795,0.02795,34.7786,56.040899653979245,0,0.0,0.0,0.0,0.0543,0.1022,stable
